number,id,cell_id,source,ancestor_id,pct_rank
1,0944b58318b789,fced0b7a,"# Spectrogram-based CNN for the Tensorflow Speech Recognition Challenge (~ 90 % accuracy)


The goal of this challenge is to classify 65,000 one-second audio clips for 30 short words, building an algorithm that understands simple spoken command.

This notebooks shows all the steps needed to create a speech model using short audio tracks in a tidy way.


## <ins>Notes</ins>

- The notebook is using the CNN architecture published at:
https://blogs.rstudio.com/ai/posts/2018-06-06-simple-audio-classification-keras/

- The current pipeline is using batch processing and online augmentation, randomly modifying the audio clips before being used to train the network.


## <ins>Methods</ins>

- The audio clips are analyzed as images computing Mel-frequency cepstral normalized coefficients (MFCCs). MFCCs are an alternative representation of the Mel-frequency spectrogram. The MFCCs can be obtained applying the discrete cosine transform (DCT) to a Mel-frequency spectrogram (take a look to this article: https://towardsdatascience.com/getting-to-know-the-mel-spectrogram-31bca3e2d9d0). Additional information can be found in any digital signal processing textbook (concepts such as Fourier transform and Short Time Fourier Transform are fundamental).

- To improve the robustness of the algorithm, some online data augmentation methods are sequentially applied to the raw audio clips before computing MFCCs: addition of background noise, audio shifting and pitch modification. Each audio was edited independently with these filters with a chance of 70% in each sequential step.",0212b702,0
3,59958672e3bf59,9b68df7e,# A simple explanation and implementation of DTs ID3 algorithm in python,8f0f9cda,0
4,b22e24942614c9,fa089df9,"Name: Aviral Jain | 
Roll No: 18AG3AI08 | 
BTP Guide: Prof. Rajendra Machavaram

# Application of Convolutional Neural Networks for Wheat Head Detection",52b2390a,0
5,59959edc72f7c1,815f8d1f,"<img src=""https://drive.google.com/uc?export=download&id=1L7ZFYFXCzc01DOKnbaDd5YV5GZgo_htn"" width=""750px"">
<hr/>
[**Tolgahan Çepel**](https://www.kaggle.com/tolgahancepel)
<hr/>

<font color=green>
* 1. [Importing Libraries and Reading the Dataset](#1)
* 2. [Building the Network](#2)
    * [Configuring the Model for Training](#3)
    * [Data Augmentation](#4)
    * [Displaying Some Augmented Images](#5)
    * [Fitting the model](#6)
    * [Saving the model](#7)
    * [Displaying curves of loss and accuracy during training](#8)
* 3. [Conclusion](#9)
<hr/>",2ba4272a,0
7,599548cea78ff7,7b084d0a,"# DATA UNDESRTANDING

#### Churn veri seti için ML algoritmaları uyguladım, veriyi anlama kısmına ise bu notebookta yer verdim.

#### Churn ML Algoritmaları: https://www.kaggle.com/nguncedasci/churn-dataset-ml-algorithms-accuracy-0-9",ce055a99,0
8,b22dbd9793ae30,497a7055,"###  Following sentdex's video 3, 4 and 5 of [Data Analysis w/ Python](https://www.youtube.com/playlist?list=PLQVvvaa0QuDfSfqQuee6K8opKtZsh7sA9)",d32ccf55,0
9,59979614f8c7e8,7ad2849e,"<h1 style=""color:red;"">Upvote If This Kernel Helps You</h1>",8f3d7f06,0
12,b22c3a532f6dfb,3a87dcd1,"# Convolutional Neural Networks (CNN)
<br>Content: 
* [Loading the Data Set](#1)
* [Overview Data Set](#2)
* [Data Preprocessing](#3)
    * [Normalization](#4)
    * [Reshape](#5)
    * [Label Encoding](#6)
    * [Train Test Split](#7)
* [Convolutional Neural Network](#8)
    * [What is Convolution Operation?](#9)
    * [Same Padding](#10)
    * [Max Pooling](#11)
    * [Flattening](#12)
    * [Full Connection](#13)
* [Implementing with Keras](#14)
    * [Create Model](#15)
    * [Define Optimizer](#16)
    * [Compile Model](#17)
    * [Epochs and Batch Size](#18)
    * [Data Augmentation](#19)
    * [Fit the Model](#20)
    * [Evaluate the Model](#21)
",dc62ddd3,0
13,b22c367289ddb8,6ebf0f96,"**Some of the key resources that helped me out in formulating this:**
- https://www.kaggle.com/ejmejm/commonlit-eda-video-tutorial?scriptVersionId=64939768 : There is a beautiful explanation via youtube video as well. 
- https://www.kaggle.com/ruchi798/commonlit-readability-prize-eda-baseline",3682132e,0
14,5997e7cf75d1a6,ffcd61cc,"<h1>Table of Contents<span class=""tocSkip""></span></h1>
<div class=""toc""><ul class=""toc-item""><li><span><a href=""#UCI-Bank-Marketing-Dataset.-Case-study.-Part-1-(EDA)"" data-toc-modified-id=""UCI-Bank-Marketing-Dataset.-Case-study.-Part-1-(EDA)-1""><span class=""toc-item-num"">1&nbsp;&nbsp;</span>UCI Bank Marketing Dataset. Case study. Part 1 (EDA)</a></span></li><li><span><a href=""#Attribute-Information"" data-toc-modified-id=""Attribute-Information-2""><span class=""toc-item-num"">2&nbsp;&nbsp;</span>Attribute Information</a></span><ul class=""toc-item""><li><span><a href=""#Input-variables"" data-toc-modified-id=""Input-variables-2.1""><span class=""toc-item-num"">2.1&nbsp;&nbsp;</span>Input variables</a></span><ul class=""toc-item""><li><span><a href=""#Bank-client-data"" data-toc-modified-id=""Bank-client-data-2.1.1""><span class=""toc-item-num"">2.1.1&nbsp;&nbsp;</span>Bank client data</a></span></li><li><span><a href=""#Related-with-the-last-contact-of-the-current-campaign"" data-toc-modified-id=""Related-with-the-last-contact-of-the-current-campaign-2.1.2""><span class=""toc-item-num"">2.1.2&nbsp;&nbsp;</span>Related with the last contact of the current campaign</a></span></li><li><span><a href=""#Other-attributes"" data-toc-modified-id=""Other-attributes-2.1.3""><span class=""toc-item-num"">2.1.3&nbsp;&nbsp;</span>Other attributes</a></span></li><li><span><a href=""#Social-and-economic-context-attributes"" data-toc-modified-id=""Social-and-economic-context-attributes-2.1.4""><span class=""toc-item-num"">2.1.4&nbsp;&nbsp;</span>Social and economic context attributes</a></span></li></ul></li><li><span><a href=""#Output-variable-(desired-target)"" data-toc-modified-id=""Output-variable-(desired-target)-2.2""><span class=""toc-item-num"">2.2&nbsp;&nbsp;</span>Output variable (desired target)</a></span></li></ul></li><li><span><a href=""#Basic-info-of-the-dataset"" data-toc-modified-id=""Basic-info-of-the-dataset-3""><span class=""toc-item-num"">3&nbsp;&nbsp;</span>Basic info of the dataset</a></span></li><li><span><a href=""#Exploratory-Data-Analysis-(EDA)"" data-toc-modified-id=""Exploratory-Data-Analysis-(EDA)-4""><span class=""toc-item-num"">4&nbsp;&nbsp;</span>Exploratory Data Analysis (EDA)</a></span><ul class=""toc-item""><li><span><a href=""#Distribution-of-the-Target"" data-toc-modified-id=""Distribution-of-the-Target-4.1""><span class=""toc-item-num"">4.1&nbsp;&nbsp;</span>Distribution of the Target</a></span></li><li><span><a href=""#Correlation-matrix"" data-toc-modified-id=""Correlation-matrix-4.2""><span class=""toc-item-num"">4.2&nbsp;&nbsp;</span>Correlation matrix</a></span></li><li><span><a href=""#Feature-Analysis"" data-toc-modified-id=""Feature-Analysis-4.3""><span class=""toc-item-num"">4.3&nbsp;&nbsp;</span>Feature Analysis</a></span><ul class=""toc-item""><li><span><a href=""#Feature:-month-(categorical)"" data-toc-modified-id=""Feature:-month-(categorical)-4.3.1""><span class=""toc-item-num"">4.3.1&nbsp;&nbsp;</span>Feature: month (categorical)</a></span></li><li><span><a href=""#Bank-client-data"" data-toc-modified-id=""Bank-client-data-4.3.2""><span class=""toc-item-num"">4.3.2&nbsp;&nbsp;</span>Bank client data</a></span><ul class=""toc-item""><li><span><a href=""#Feature:-age-(numeric)"" data-toc-modified-id=""Feature:-age-(numeric)-4.3.2.1""><span class=""toc-item-num"">4.3.2.1&nbsp;&nbsp;</span>Feature: age (numeric)</a></span></li><li><span><a href=""#Feature:-job-(categorical)"" data-toc-modified-id=""Feature:-job-(categorical)-4.3.2.2""><span class=""toc-item-num"">4.3.2.2&nbsp;&nbsp;</span>Feature: job (categorical)</a></span></li><li><span><a href=""#Feature:-marital-(categorical)"" data-toc-modified-id=""Feature:-marital-(categorical)-4.3.2.3""><span class=""toc-item-num"">4.3.2.3&nbsp;&nbsp;</span>Feature: marital (categorical)</a></span></li><li><span><a href=""#Feature:-education-(categorical)"" data-toc-modified-id=""Feature:-education-(categorical)-4.3.2.4""><span class=""toc-item-num"">4.3.2.4&nbsp;&nbsp;</span>Feature: education (categorical)</a></span></li><li><span><a href=""#Feature:-default-(categorical)"" data-toc-modified-id=""Feature:-default-(categorical)-4.3.2.5""><span class=""toc-item-num"">4.3.2.5&nbsp;&nbsp;</span>Feature: default (categorical)</a></span></li><li><span><a href=""#Feature:-housing-(categorical)"" data-toc-modified-id=""Feature:-housing-(categorical)-4.3.2.6""><span class=""toc-item-num"">4.3.2.6&nbsp;&nbsp;</span>Feature: housing (categorical)</a></span></li><li><span><a href=""#Feature:-loan-(categorical)"" data-toc-modified-id=""Feature:-loan-(categorical)-4.3.2.7""><span class=""toc-item-num"">4.3.2.7&nbsp;&nbsp;</span>Feature: loan (categorical)</a></span></li></ul></li><li><span><a href=""#Related-with-the-last-contact-of-the-current-campaign"" data-toc-modified-id=""Related-with-the-last-contact-of-the-current-campaign-4.3.3""><span class=""toc-item-num"">4.3.3&nbsp;&nbsp;</span>Related with the last contact of the current campaign</a></span><ul class=""toc-item""><li><span><a href=""#Feature:-contact-(categorical)"" data-toc-modified-id=""Feature:-contact-(categorical)-4.3.3.1""><span class=""toc-item-num"">4.3.3.1&nbsp;&nbsp;</span>Feature: contact (categorical)</a></span></li><li><span><a href=""#Feature:-month-(categorical)"" data-toc-modified-id=""Feature:-month-(categorical)-4.3.3.2""><span class=""toc-item-num"">4.3.3.2&nbsp;&nbsp;</span>Feature: month (categorical)</a></span></li><li><span><a href=""#Feature:-day_of_week-(categorical)"" data-toc-modified-id=""Feature:-day_of_week-(categorical)-4.3.3.3""><span class=""toc-item-num"">4.3.3.3&nbsp;&nbsp;</span>Feature: day_of_week (categorical)</a></span></li><li><span><a href=""#Feature:-duration-(numeric)"" data-toc-modified-id=""Feature:-duration-(numeric)-4.3.3.4""><span class=""toc-item-num"">4.3.3.4&nbsp;&nbsp;</span>Feature: duration (numeric)</a></span></li></ul></li><li><span><a href=""#Other-attributes"" data-toc-modified-id=""Other-attributes-4.3.4""><span class=""toc-item-num"">4.3.4&nbsp;&nbsp;</span>Other attributes</a></span><ul class=""toc-item""><li><span><a href=""#Feature:-campaign-(numeric)"" data-toc-modified-id=""Feature:-campaign-(numeric)-4.3.4.1""><span class=""toc-item-num"">4.3.4.1&nbsp;&nbsp;</span>Feature: campaign (numeric)</a></span></li><li><span><a href=""#Feature:-pdays-(numeric)"" data-toc-modified-id=""Feature:-pdays-(numeric)-4.3.4.2""><span class=""toc-item-num"">4.3.4.2&nbsp;&nbsp;</span>Feature: pdays (numeric)</a></span></li><li><span><a href=""#Feature:-previous-(numeric)"" data-toc-modified-id=""Feature:-previous-(numeric)-4.3.4.3""><span class=""toc-item-num"">4.3.4.3&nbsp;&nbsp;</span>Feature: previous (numeric)</a></span></li><li><span><a href=""#Feature:-poutcome-(categorical)"" data-toc-modified-id=""Feature:-poutcome-(categorical)-4.3.4.4""><span class=""toc-item-num"">4.3.4.4&nbsp;&nbsp;</span>Feature: poutcome (categorical)</a></span></li></ul></li><li><span><a href=""#Social-and-economic-context-attributes"" data-toc-modified-id=""Social-and-economic-context-attributes-4.3.5""><span class=""toc-item-num"">4.3.5&nbsp;&nbsp;</span>Social and economic context attributes</a></span><ul class=""toc-item""><li><span><a href=""#Feature:-emp.var.rate-(numeric)"" data-toc-modified-id=""Feature:-emp.var.rate-(numeric)-4.3.5.1""><span class=""toc-item-num"">4.3.5.1&nbsp;&nbsp;</span>Feature: emp.var.rate (numeric)</a></span></li><li><span><a href=""#Feature:-cons.price.idx-(numeric)"" data-toc-modified-id=""Feature:-cons.price.idx-(numeric)-4.3.5.2""><span class=""toc-item-num"">4.3.5.2&nbsp;&nbsp;</span>Feature: cons.price.idx (numeric)</a></span></li><li><span><a href=""#Feature:-cons.conf.idx-(numeric)"" data-toc-modified-id=""Feature:-cons.conf.idx-(numeric)-4.3.5.3""><span class=""toc-item-num"">4.3.5.3&nbsp;&nbsp;</span>Feature: cons.conf.idx (numeric)</a></span></li><li><span><a href=""#Feature:-euribor3m-(numeric)"" data-toc-modified-id=""Feature:-euribor3m-(numeric)-4.3.5.4""><span class=""toc-item-num"">4.3.5.4&nbsp;&nbsp;</span>Feature: euribor3m (numeric)</a></span></li><li><span><a href=""#Feature:-nr.employed-(numeric)"" data-toc-modified-id=""Feature:-nr.employed-(numeric)-4.3.5.5""><span class=""toc-item-num"">4.3.5.5&nbsp;&nbsp;</span>Feature: nr.employed (numeric)</a></span></li></ul></li><li><span><a href=""#Output-variable-(target)"" data-toc-modified-id=""Output-variable-(target)-4.3.6""><span class=""toc-item-num"">4.3.6&nbsp;&nbsp;</span>Output variable (target)</a></span></li></ul></li></ul></li><li><span><a href=""#Summary"" data-toc-modified-id=""Summary-5""><span class=""toc-item-num"">5&nbsp;&nbsp;</span>Summary</a></span></li></ul></div>",6d1eb35c,0
